"Time","city-pole-00001 (p99)","event-store-00001 (p99)","ngsi-ld-city-airqualityobserved-00001 (p99)","ngsi-ld-city-crowdflowobserved-00001 (p99)","ngsi-ld-city-device-00001 (p99)","ngsi-ld-city-offstreetparking-00001 (p99)","ngsi-ld-city-parkingspot-00001 (p99)","ngsi-ld-city-streetlight-00001 (p99)","ngsi-ld-city-trafficflowobserved-00001 (p99)","ngsi-ld-city-weatherobserved-00001 (p99)","s4city-city-neighborhood-00001 (p99)"
1718965950000,undefined,298.51456310679566,2040.0000000000482,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1718965980000,597.2613636363633,146.82246376811588,1676.4516129032252,800,undefined,undefined,undefined,undefined,827.6451612903227,4956.1538461538175,778.1111111111115
1718966010000,376.42857142857065,145.3485952133196,606.9310344827579,188.0952380952382,undefined,348.9083481230955,149.33333333333334,undefined,337.44444444444434,401.023809523809,391.0857142857138
1718966040000,1739.3333333333487,123.22906403940868,1604.5833333333326,687.8787878787879,undefined,,,undefined,2389.142857142874,744.7586206896547,1387.878787878786
1718966070000,664.9599999999996,149.47983142685126,722.9999999999998,563.6363636363639,undefined,4961.428571428571,341,undefined,445.91666666666697,605.8750000000006,677.4883720930236
1718966100000,324.1363636363634,138.49354838709655,612.7741935483863,417.8571428571428,undefined,199,149,undefined,342.85714285714283,430.6451612903226,520.6875000000007
1718966130000,1194.41176470588,186.99481865284932,1174.545454545449,996.9999999999999,undefined,,,undefined,445.66326530612207,575.8684210526316,803.2000000000011
1718966160000,2417.599999999994,143.99889746416758,787.9374999999998,18149.484536082466,undefined,19760,381.99999999999994,undefined,380.34210526315803,806.2000000000015,672.8918918918919
1718966190000,891.8809523809518,242.99248120300817,1942.6962457337893,911.3571428571422,undefined,889.9999999999999,859.9999999999995,undefined,882.6185567010307,1544.0909090909095,1694.6153846153848
1718966220000,3688.507462686565,236.25819672131095,3997.2413793103415,7374.137931034495,undefined,1949.9999999999995,4890.90909090909,undefined,2810.447761194051,3706.4999999999914,3331.0000000000173
1718966250000,1399.285714285721,178.42436974789928,4350.43478260868,3120.3124999999845,undefined,659.9999999999995,1899.9999999999993,undefined,1808.7500000000048,2827.2340425532175,2080.624999999999
1718966280000,1367.6086956521717,177.22580645161256,3427.4545454545437,1439.9999999999932,undefined,1599.999999999996,1599.999999999996,undefined,1590.5223880597,1756.9565217391287,1737.636363636363
1718966310000,976.3636363636361,238.5256410256428,1940.4166666666656,1410.000000000003,undefined,1599.999999999996,659.9999999999995,undefined,923.1000000000008,1495.6896551724176,1659.2222222222213
1718966340000,866.2380952380948,195.85116279069757,1930.6088992974237,905.4666666666676,undefined,679.9999999999999,393.33333333333326,undefined,910.9999999999975,1727.8761061946886,1771.0743801652895
1718966370000,1867.3287671232897,179.50378787878782,1986.4147286821708,1819.8449612403112,undefined,1866.6666666666656,1866.6666666666656,undefined,1403.2673267326704,1925.8124999999993,1905.353846153846
1718966400000,1880.7906976744193,224.5089285714275,3425.918367346946,1929.9999999999995,3602.97297297297,1949.7777777777778,1902.916666666667,1973.0392156862745,1867.6060606060605,1986.2235067437382,1978.4854368932042
1718966430000,975.0400000000001,246.55624999999975,2201.5624999999773,1538.867924528301,1956.5188470066528,1883.0769230769238,880.0000000000002,8187.5,1367.6000000000045,1887.067137809186,1876.0000000000007
1718966460000,1946.3218390804614,317.92857142856786,4187.362637362635,1817.9629629629635,4180,1851.5,1880.0000000000005,,1865.9411764705915,2937.49999999999,1934.6078431372548
1718966490000,1802.1428571428564,244.16770186335378,3016.3414634146257,1750.1315789473672,,1665.555555555556,3718.5714285714434,,1761.0059171597604,1935.2727272727268,1930.619946091644
1718966520000,1663.5802469135813,189.0504385964909,2292.258064516136,1869.022082018926,,1879.5652173913031,1447.999999999995,,1841.9480519480503,1934.651639344262,1918.2565789473683
1718966550000,1520.9374999999957,228.43448275862002,2921.521739130443,1788.6069651741323,,1893.571428571428,1950.9090909090914,,1732.7374301675986,1930.8524590163931,1930.288461538462
1718966580000,1852.696629213484,212.44690265486625,3328.936170212747,1765.4838709677413,,1812.35294117647,1382.000000000006,,1769.6354166666667,1934.9395161290324,1935.4777070063692
1718966610000,991.1666666666662,242.63247863247824,1959.51526032316,1473.7254901960755,,999.1249999999995,1480.0000000000023,,1233.8888888888841,1477.0909090909042,1624.9450549450567
1718966640000,962.0454545454543,232.65921787709482,1949.9795501022497,960.0666666666655,,1667.777777777781,948.0000000000002,,898.7311827956989,1695.999999999998,1832.7272727272723
1718966670000,1322.6923076922988,246.85135135135147,1998.6532951289403,928.1818181818186,,1496.6666666666626,834.6666666666677,,1015.9259259259335,1741.1111111111113,1495.6944444444437
1718966700000,1356.756756756747,213.53333333333353,1965.5,1484.731182795701,,1699.0000000000005,999.6666666666663,,1251.3043478260777,1772.9577464788722,1795.4929577464782
1718966730000,871.220930232558,262.6125000000002,1930.884955752212,1170.2739726027387,,1501.666666666673,1257.500000000006,,1096.9642857142915,1847.2670807453424,1762.9921259842527
1718966760000,1683.8461538461543,323.5845070422534,1959.7733711048156,1733.1428571428567,,1890.7407407407413,900.9999999999994,,1611.2781954887232,1890.622568093384,1848.1212121212138
1718966790000,1772.6548672566355,218.55625000000023,1991.6455696202531,1695.2678571428587,,1883.0769230769238,1878.4000000000005,,1664.7200000000012,1924.8860759493668,1919.4117647058815
1718966820000,935.9285714285703,269.51052631579046,1975.1592356687902,963.4716981132076,,1250,1247.4999999999968,,1236.98113207547,1817.3988439306363,1816.024096385542
1718966850000,1313.5714285714323,220.83870967741962,1931.9436619718308,936.2539682539687,,890.0000000000005,1309.9999999999936,,1182.1875000000002,1271.7073170731662,1789.024390243902
1718966880000,1021.0000000000008,308.0307692307708,1977.2082018927445,1644.4274809160256,,1563.333333333331,889.6666666666664,,1543.7142857142833,1874.0975609756101,1841.7763157894744
1718966910000,995.2195121951223,298.50970873786343,1946.2288135593217,1489.642857142852,,1799.9999999999986,1599.999999999996,,1443.894736842105,1793.8524590163956,1812.1804511278187
1718966940000,1208.64864864865,248.66949152542364,1911.9798657718115,866.9510489510491,,959.9999999999995,759.9999999999995,,859.89705882353,1616.5476190476184,1827.6774193548367
1718966970000,1815.0847457627149,273.1589403973509,1997.0731707317073,1705.8730158730114,,959.9999999999995,1866.6666666666656,,1664.5714285714262,1916.5705128205143,1938.3636363636365
1718967000000,1598.0357142857174,319.45454545454675,1925.1928020565551,1071.4754098360752,,986.6666666666665,859.9999999999995,,1132.131147540981,1212.439024390237,1654.1758241758216
1718967030000,764.590909090908,340.3865546218485,1836.242774566474,758.6395348837202,,686.6666666666665,758.9999999999997,,738.2031249999995,781.6562499999998,986.9743589743595
1718967060000,951.8421052631585,351.627450980391,1817.4137931034486,1421.5151515151526,,1599.999999999996,859.9999999999995,,868.4528301886807,1627.373737373735,1673.3707865168562
1718967090000,1745.3684210526326,293.09615384615427,1932.2255192878333,1704.0277777777765,4743.124999999997,593.3333333333333,586.6666666666665,9499.999999999996,970.1931818181816,1853.5937500000005,1795.2892561983479
1718967120000,1918.2706766917313,247.20361990950238,2490.5405405405436,1880.1282051282049,2103.5483870967464,1760.0000000000005,792,3457.9999999999964,1802.2881355932182,1937.8761061946905,1959.7945205479457
1718967150000,1860.7878787878772,274.1214285714287,2581.249999999993,1739.7368421052624,1983.5522066738424,,,1950.7947019867547,1728.2456140350873,1913.2276657060513,1941.8635170603677
1718967180000,917.5249999999999,358.5075757575753,1932.416267942583,1368.125,1975.330739299611,346,442.00000000000006,,1409.0526315789534,1765.4999999999995,1612.823529411768
1718967210000,670.6444444444438,322.1323529411763,1591.3513513513535,735.7142857142856,,248,148,,515.1111111111105,725.904761904761,981.6206896551724
1718967240000,773.5238095238092,239.5206185567013,1731.9178082191836,687.7499999999983,,,,,732.8970588235283,897.8636363636372,967.2142857142816
1718967270000,875.1363636363637,374.54700854700957,1109.1666666666665,528.428571428571,,18200,441,,724.0833333333337,824.6875000000002,1517.9629629629671
1718967300000,789.9782608695662,224.62809917355372,1881.8055555555557,1642.8571428571418,,898,349,,775.4444444444454,800.6874999999989,1354.0425531914934
1718967330000,476.9729729729731,390.5801886792462,789.9285714285714,652.3809523809523,,,,,442.37158469945354,599.6470588235293,654.9444444444453
1718967360000,616.9375000000001,412.5901639344261,782.1538461538461,293.72222222222166,,9600.000000000004,242.00000000000006,,396.5185185185182,528.7777777777765,796.8809523809518
1718967390000,,193.3333333333336,,,,,,,31.5499999999999,166.83333333333354,
1718967420000,,134.78571428571448,,,,,,,,,
1718967450000,,198.42682926829244,,,,,,,,,
1718967480000,,144.55789473684183,,,,,,,,,
1718967510000,,161.45588235294036,,,,,,,,,
1718967540000,,190.59565217391236,,,,,,,,,
1718967570000,,182.73750000000047,,,,,,,,,
1718967600000,,192.89090909090876,,,,,,,,,
1718967630000,,366.13157894736787,,,,,,,,,
1718967660000,,174.97602739726005,,,,,,,,,
1718967690000,,180.9123711340205,,,,,,,,,
1718967720000,,352.7777777777783,,,,,,,,,
1718967750000,,148.85321100917457,,,,,,,,,
1718967780000,,310.99999999999795,,,,,,,,,
1718967810000,,217.95192307692423,,,,,,,,,
1718967840000,,334.4523809523802,,,,,,,,,
1718967870000,,232.10294117647115,,,,,,,,,
1718967900000,,404.3421052631583,,,,,,,,,
1718967930000,,312.9687499999989,,,,,,,,,
1718967960000,,231.0645161290321,,,,,,,,,
1718967990000,,519.9230769230822,,,,,,,,,
1718968020000,,187.62162162162178,,,,,,,,,
1718968050000,,246.58799999999988,,,,,,,,,
1718968080000,,181.01369863013568,,,,,,,,,
1718968110000,,500.3636363636381,,,,,,,,,
1718968140000,,180.67361111111063,,,,,,,,,
1718968170000,,197.42814371257526,,,,,,,,,
1718968200000,,191.05909090909103,,,,,,,,,
1718968230000,,180.96268656716356,,,,,,,,,
1718968260000,,439.5937500000015,,,,,,,,,
1718968290000,,149.88797814207652,,,,,,,,,
1718968320000,,333.3846153846149,,,,,,,,,
1718968350000,,240.99285714285722,,,,,,,,,
1718968380000,,356.35416666666833,,,,,,,,,
1718968410000,,195.5660377358491,,,,,,,,,
1718968440000,,337.49038461538555,,,,,,,,,
1718968470000,,241.6785714285711,,,,,,,,,
1718968500000,,221.0860655737702,,,,,,,,,
1718968530000,,256.4137931034493,,,,,,,,,
1718968560000,,169.81313131313183,,,,,,,,,
1718968590000,,277.7272727272722,,,,,,,,,
1718968620000,,205.15243902438968,,,,,,,,,
1718968650000,,341.8809523809519,,,,,,,,,
1718968680000,,177.9259259259273,,,,,,,,,
1718968710000,,606.5652173913036,,,,,,,,,
1718968740000,,197.86413043478308,,,,,,,,,
1718968770000,,179.0704225352119,,,,,,,,,
1718968800000,,604.6363636363624,,,,,,,,,
1718968830000,,196.51595744680895,,,,,,,,,
1718968860000,,370.44642857142816,,,,,,,,,
1718968890000,,228.4599999999989,,,,,,,,,
1718968920000,,322.0357142857144,,,,,,,,,
1718968950000,,303.2450980392148,,,,,,,,,
1718968980000,,201.87804878048775,,,,,,,,,
1718969010000,,260.46969696969575,,,,,,,,,
1718969040000,,338.18867924528337,,,,,,,,,
1718969070000,,179.60294117647044,,,,,,,,,
1718969100000,,567.8648648648616,,,,,,,,,
1718969130000,,188.89430894308947,,,,,,,,,
1718969160000,,602.8749999999974,,,,,,,,,
1718969190000,,260.0111111111109,,,,,,,,,
1718969220000,,231.38888888889025,,,,,,,,,
1718969250000,,527.2439024390261,,,,,,,,,
1718969280000,,344.58108108108075,,,,,,,,,
1718969310000,,256.0312499999974,,,,,,,,,
1718969340000,,204.61290322580695,,,,,,,,,
1718969370000,,300.40217391304384,,,,,,,,,
1718969400000,,287.936363636363,,,,,,,,,
1718969430000,,577.8399999999953,,,,,,,,,
1718969460000,,260.1625000000007,,,,,,,,,
