"Time","air-quality-observed","city-pole","cloud-event-dispatcher","crowd-flow-observed","device","dispatcher","ingress","ktwin-event-store-v1","ktwin-graph-store","mqtt-dispatcher","neighborhood","queue-proxy","rabbitmq","redis","scylla","scylla-manager-agent","streetlight","traffic-flow-observed","weather-observed","Total"
1718965740000,undefined,undefined,0,undefined,undefined,0,1,0,6,0,undefined,5,0,31,1,0,undefined,undefined,undefined,1
1718965770000,undefined,undefined,0,undefined,undefined,0,3,0,4,0,undefined,2,7,35,1,0,undefined,undefined,undefined,5
1718965800000,undefined,undefined,0,undefined,0,0,1,0,undefined,0,undefined,4,4,33,1,0,undefined,undefined,undefined,3
1718965830000,undefined,undefined,0,undefined,0,0,1,0,6,0,undefined,5,8,36,1,0,undefined,undefined,undefined,6
1718965860000,undefined,undefined,0,undefined,undefined,0,1,0,0,0,undefined,5,6,32,0,0,undefined,undefined,undefined,4
1718965890000,undefined,undefined,0,undefined,undefined,12,3,0,0,undefined,undefined,0,10,29,1,0,undefined,undefined,undefined,6
1718965920000,8,4,0,undefined,undefined,49,325,5,36,13,undefined,7,37,35,6,0,undefined,1,undefined,15
1718965950000,14,15,undefined,4,undefined,91,1503,14,17,13,15,38,52,31,9,1,undefined,12,15,28
1718965980000,12,7,0,4,undefined,404,1092,19,0,undefined,12,42,15,30,9,0,undefined,13,16,30
1718966010000,13,4,0,2,undefined,359,1231,38,15,21,8,29,34,33,16,0,undefined,9,13,34
1718966040000,14,8,0,2,undefined,380,1295,25,18,22,12,27,39,34,15,0,undefined,9,23,38
1718966070000,14,8,0,3,undefined,293,1192,15,2,undefined,16,36,57,31,19,0,undefined,11,22,37
1718966100000,15,9,0,1,undefined,387,1174,22,0,undefined,30,37,57,31,6,0,undefined,9,25,39
1718966130000,11,6,0,0,undefined,302,undefined,20,6,22,20,32,26,32,7,0,undefined,23,13,28
1718966160000,10,10,0,7,undefined,369,860,25,14,24,15,32,32,32,18,0,undefined,15,11,36
1718966190000,15,10,0,8,undefined,212,1677,8,0,undefined,15,33,45,32,19,0,undefined,21,18,28
1718966220000,12,7,0,4,undefined,209,1839,22,6,27,10,26,49,35,21,0,undefined,22,13,31
1718966250000,16,9,0,7,undefined,270,undefined,13,14,25,17,37,55,34,24,0,undefined,22,15,33
1718966280000,17,11,0,6,undefined,205,1037,20,3,26,17,28,20,31,22,0,undefined,22,14,26
1718966310000,12,17,0,7,undefined,154,1074,19,0,26,17,40,42,32,7,0,undefined,23,20,29
1718966340000,14,11,0,8,undefined,272,undefined,22,9,14,16,32,56,27,undefined,0,0,18,21,32
1718966370000,13,11,0,4,5,292,1863,29,3,16,13,27,37,17,27,0,1,26,16,32
1718966400000,14,11,0,9,14,103,1273,18,0,19,13,28,20,28,29,0,7,17,19,22
1718966430000,14,10,0,15,14,314,undefined,20,7,undefined,15,25,45,36,21,0,1,15,15,31
1718966460000,15,12,0,18,1,172,1838,14,10,31,16,23,45,35,11,0,0,18,15,27
1718966490000,16,14,undefined,18,0,82,1964,18,1,32,18,28,26,32,18,0,0,17,20,23
1718966520000,19,11,0,21,0,286,1883,23,2,19,15,36,41,32,15,0,undefined,20,21,36
1718966550000,15,12,0,21,undefined,244,1950,22,0,undefined,20,39,35,31,29,0,undefined,22,21,35
1718966580000,20,16,0,21,undefined,286,1877,39,0,32,22,46,49,28,34,0,undefined,24,22,45
1718966610000,21,19,0,25,undefined,261,1958,39,1,32,23,41,30,28,17,0,undefined,28,21,39
1718966640000,23,18,0,25,undefined,113,1901,35,9,31,25,44,30,33,30,0,undefined,25,19,34
1718966670000,18,16,0,24,undefined,341,1902,39,0,18,21,42,46,33,34,0,undefined,28,21,46
1718966700000,14,16,0,24,undefined,178,undefined,42,2,undefined,18,40,21,22,33,0,undefined,21,23,31
1718966730000,17,15,0,24,undefined,248,1914,14,0,31,16,33,19,32,30,0,undefined,23,20,30
1718966760000,18,15,0,19,undefined,204,1955,19,1,31,16,37,56,32,18,0,undefined,22,18,36
1718966790000,18,15,0,21,undefined,162,1893,15,3,32,17,37,59,30,15,0,undefined,19,24,33
1718966820000,21,14,0,22,undefined,287,964,15,1,31,22,38,33,32,36,0,undefined,20,20,34
1718966850000,19,14,0,18,undefined,317,undefined,35,10,16,19,44,25,35,39,1,undefined,19,18,37
1718966880000,18,13,0,22,undefined,262,1851,18,4,15,16,35,29,31,38,0,undefined,19,15,32
1718966910000,16,12,0,29,undefined,203,1893,24,1,27,18,40,34,32,37,0,undefined,24,17,35
1718966940000,14,16,0,22,undefined,96,1922,25,0,undefined,16,34,49,32,32,0,undefined,21,17,33
1718966970000,16,16,0,18,undefined,193,1863,25,2,undefined,19,33,50,25,33,0,undefined,22,17,37
1718967000000,16,12,0,25,undefined,255,1935,27,3,27,17,42,45,17,36,0,undefined,25,18,40
1718967030000,13,14,0,16,undefined,188,1873,21,0,27,16,39,28,31,33,0,undefined,33,22,32
1718967060000,13,13,0,10,undefined,176,1817,29,9,27,13,36,47,38,34,0,0,30,12,36
1718967090000,11,9,0,6,4,255,1194,21,6,28,14,22,36,30,36,0,2,19,13,29
1718967120000,14,12,0,4,16,275,1186,30,5,28,16,30,6,33,21,0,3,21,17,26
1718967150000,17,11,0,5,13,86,1026,26,0,23,17,28,45,26,13,1,2,20,19,26
1718967180000,19,11,0,4,1,95,913,22,0,undefined,21,28,46,29,40,0,0,31,19,28
1718967210000,13,13,0,9,0,241,1066,22,0,undefined,14,27,18,30,36,0,0,36,9,28
1718967240000,8,9,0,7,0,201,undefined,12,1,20,13,25,28,31,16,0,undefined,24,13,22
1718967270000,13,8,0,4,undefined,173,1544,19,8,22,13,35,37,38,20,0,undefined,24,17,29
1718967300000,15,10,0,4,undefined,85,1375,22,0,21,13,34,32,32,31,0,undefined,17,14,26
1718967330000,14,7,undefined,5,undefined,184,undefined,14,0,14,14,28,47,31,22,0,undefined,12,31,26
1718967360000,2,3,0,2,undefined,264,undefined,15,0,1,3,27,22,27,22,0,undefined,6,21,25
1718967390000,0,0,0,0,undefined,193,32,21,0,1,0,44,5,32,21,0,undefined,1,2,22
1718967420000,0,0,0,0,undefined,0,1,29,0,0,undefined,113,16,31,11,0,undefined,0,0,15
1718967450000,undefined,undefined,0,undefined,undefined,305,1,42,5,0,undefined,223,10,32,20,0,undefined,undefined,undefined,39
1718967480000,undefined,undefined,0,undefined,undefined,306,1,40,19,0,undefined,155,11,37,19,1,undefined,undefined,undefined,39
1718967510000,undefined,undefined,0,undefined,undefined,189,4,18,0,undefined,undefined,109,6,33,12,0,undefined,undefined,undefined,23
1718967540000,undefined,undefined,0,undefined,undefined,0,1,45,0,undefined,undefined,221,15,32,23,0,undefined,undefined,undefined,21
1718967570000,undefined,undefined,0,undefined,undefined,307,1,61,0,0,undefined,211,12,27,24,0,undefined,undefined,undefined,43
