"Time","city-pole-00001","event-store-00001","ngsi-ld-city-airqualityobserved-00001","ngsi-ld-city-crowdflowobserved-00001","ngsi-ld-city-device-00001","ngsi-ld-city-offstreetparking-00001","ngsi-ld-city-parkingspot-00001","ngsi-ld-city-streetlight-00001","ngsi-ld-city-trafficflowobserved-00001","ngsi-ld-city-weatherobserved-00001","s4city-city-neighborhood-00001","All Revisions"
1718958960000,142.8,1808.636,141.75,0,undefined,undefined,undefined,undefined,218.4,212.1,154.35,2678.036
1718958990000,142.8,1808.636,141.75,0,undefined,undefined,undefined,undefined,218.4,212.1,154.35,2678.036
1718959020000,142.8,1808.636,141.75,0,undefined,undefined,undefined,undefined,218.4,212.1,154.35,2678.036
1718959050000,142.8,1808.636,141.75,0,undefined,undefined,undefined,undefined,218.4,212.1,154.35,2678.036
1718959080000,142.8,1808.636,141.75,0,undefined,undefined,undefined,undefined,218.4,212.1,154.35,2678.036
1718959110000,142.8,1808.636,141.75,0,undefined,undefined,undefined,undefined,218.4,212.1,154.35,2678.036
1718959140000,142.8,1808.636,141.75,0,undefined,undefined,undefined,undefined,218.4,212.1,154.35,2678.036
1718959170000,716.201,6541.213,714.116,0,undefined,undefined,undefined,undefined,1155.096,1148.841,154.35,10429.816
1718959200000,2271.629,21536.649,2274.752,338.157,undefined,undefined,undefined,undefined,2715.128,2708.881,2275.033,34120.231
1718959230000,3778.469,32404.165,3778.469,834.769,undefined,undefined,undefined,undefined,4271.313,4265.075,3791.427,53123.687
1718959260000,5355.686,45268.105,5363.994,1365.455,undefined,0,0,undefined,5824.062,5817.83,5361.396,74356.528
1718959290000,6916.237,56326.682,6915.199,1889.69,undefined,0,0,undefined,7373.723,7367.499,6912.449,93701.477
1718959320000,8411.766,66301.023,8409.694,2348.447,undefined,14.97,14.97,undefined,8920.597,8907.125,8425.27,111753.86
1718959350000,9983.522,79698.339,9981.451,2919.391,undefined,13.727,13.727,undefined,10464.942,10458.731,9998.678,133532.509
1718959380000,11436.012,91876.006,11434.978,3431.315,undefined,12.982,12.982,undefined,12006.985,11937.682,11451.605,153600.547
1718959410000,12790.412,103268.124,12790.412,4459.957,undefined,42.448,42.448,undefined,14843.946,13540.722,12806.305,174584.774
1718959440000,14566.538,116129.198,14569.636,5476.598,undefined,65.501,65.501,undefined,17918.515,15078.732,14534.349,198404.568
1718959470000,15753.362,128033.234,15751.298,6498.973,undefined,87.791,87.791,undefined,20991.068,16614.963,15770.862,219589.341
1718959500000,17415.402,140761.117,17493.766,7512.736,undefined,109.571,109.571,undefined,23853.636,18149.551,17366.145,242771.496
1718959530000,19198.331,151780.368,19198.331,8556.184,undefined,130.996,130.996,undefined,27105.587,19682.617,19043.245,264826.655
1718959560000,20672.639,162742.124,20683.966,9561.311,undefined,152.161,152.161,undefined,30162.529,21214.271,20651.711,285992.874
1718959590000,22249.626,175846.591,22256.829,10606.575,undefined,173.133,173.133,undefined,33289.54,22744.611,22179.439,309519.475
1718959620000,23631.964,188103.912,23770.807,11627.116,undefined,199.528,199.528,0,36349.906,24273.724,23651.371,331807.856
1718959650000,25076.012,200000.463,25161.325,14477.051,5332.946,347.295,347.295,872.717,39260.671,25795.523,25058.435,361729.732
1718959680000,26825.201,212586.475,26825.201,17577.921,3909.771,511.047,511.047,748.478,42468.098,27328.584,26837.569,386129.391
1718959710000,28319.519,224574.527,28319.519,20611.195,3353.18,666.272,667.334,686.358,45509.81,28854.47,28338.069,409900.254
1718959740000,29848.831,236584.351,29872.435,23643.99,3074.885,822.764,824.88,649.087,48553.483,30379.409,29846.861,434100.977
1718959770000,31199.779,248034.979,31244.913,26676.749,2907.908,977.479,978.534,624.239,51446.4,31903.456,31176.218,457170.654
1718959800000,32910.939,259899.965,32910.939,29713.569,2796.59,1132.645,1133.697,606.49,54456.485,33384.626,32919.234,481865.181
1718959830000,34416.159,271479.457,34419.233,32735.233,2717.077,1287.294,1288.344,593.179,57700.511,34949.075,34397.778,505983.341
1718959860000,35929.853,283933.148,35946.244,35772.184,2657.443,1441.501,1441.501,582.826,60729.586,36470.737,35864.322,530769.343
1718959890000,37419.283,293127.348,37427.475,38799.124,2611.06,1595.325,1595.325,574.543,63750.916,37991.688,37331.209,552223.297
1718959920000,39000.178,303999.509,38999.154,41839.389,2573.954,1749.859,1749.859,567.767,66838.648,39511.964,39004.262,575834.544
1718959950000,40470.898,316796.452,40473.967,44862.624,2543.595,1902.017,1902.017,562.119,69825.272,41031.601,40450.366,600820.928
1718959980000,42295.723,330648.377,42314.946,47900.256,2518.295,2054.961,2054.961,557.341,72875.011,42817.275,42253.339,628290.487
