"Time","city-pole-00001","event-store-00001","ngsi-ld-city-airqualityobserved-00001","ngsi-ld-city-crowdflowobserved-00001","ngsi-ld-city-device-00001","ngsi-ld-city-offstreetparking-00001","ngsi-ld-city-parkingspot-00001","ngsi-ld-city-streetlight-00001","ngsi-ld-city-trafficflowobserved-00001","ngsi-ld-city-weatherobserved-00001","s4city-city-neighborhood-00001","All Revisions"
1718959080000,142.8,1808.636,141.75,0,undefined,undefined,undefined,undefined,218.4,212.1,154.35,2678.036
1718959110000,142.8,1808.636,141.75,0,undefined,undefined,undefined,undefined,218.4,212.1,154.35,2678.036
1718959140000,142.8,1808.636,141.75,0,undefined,undefined,undefined,undefined,218.4,212.1,154.35,2678.036
1718959170000,706.443,6464.934,704.387,0,undefined,undefined,undefined,undefined,1139.358,1133.189,154.417,10302.728
1718959200000,2103.906,19535.577,2108.019,333.17,undefined,undefined,undefined,undefined,2467.925,2467.925,2093.623,31110.143
1718959230000,3597,30324.247,3598.028,823.67,undefined,undefined,undefined,undefined,4010.377,4010.377,3594.943,49958.644
1718959260000,5163.104,43114.442,5172.358,1349.132,undefined,0,0,undefined,5552.83,5552.83,5152.821,71057.517
1718959290000,6715.84,54135.869,6715.84,1869.453,undefined,0,0,undefined,7095.283,7095.283,6695.274,90322.841
1718959320000,8206.877,64097.905,8205.849,2326.019,undefined,14.97,14.97,undefined,8637.736,8630.538,8202.764,108337.627
1718959350000,9776.066,77478.41,9775.038,2894.67,undefined,13.727,13.727,undefined,10180.189,10180.189,9772.981,130084.996
1718959380000,11229.057,89663.959,11229.057,3405.736,undefined,12.982,12.982,undefined,11722.642,11659.915,11225.972,150162.3
1718959410000,12586.415,101082.609,12587.443,4430.953,undefined,42.448,42.448,undefined,14555.613,13265.094,12583.33,171176.355
1718959440000,14365.377,113978.729,14369.491,5445.887,undefined,65.501,65.501,undefined,17629.208,14807.547,14313.962,195041.203
1718959470000,15559.236,125934.533,15558.208,6468.019,undefined,87.791,87.791,undefined,20704.858,16350,15557.179,216307.614
1718959500000,17228.17,138724.711,17307.349,7482.953,undefined,109.571,109.571,undefined,23574.849,17892.453,17159.274,239588.9
1718959530000,19019.472,149820.563,19020.5,8528.736,undefined,130.996,130.996,undefined,26836.623,19434.906,18844.66,261767.451
1718959560000,20504.34,160868.329,20516.679,9537.5,undefined,152.161,152.161,undefined,29907.132,20977.358,20463.208,283078.869
