"Time","Total"
1716978720000,0
1716978750000,0
1716978780000,30
1716978810000,354.93333333333334
1716978840000,926.4205733333332
1716978870000,1105.7
1716978900000,1062.7
1716978930000,1059.1666666666667
1716978960000,1114.0666666666668
1716978990000,1096.3
1716979020000,1082.4666666666667
1716979050000,1273.6
1716979080000,1314.5333333333333
1716979110000,1312.4
1716979140000,1266.8999999999999
1716979170000,1334.7333333333333
1716979200000,1301.9000000000003
1716979230000,1286.9
1716979260000,1400.5666666666666
1716979290000,1725.2999999999997
1716979320000,1621.5666666666664
1716979350000,1384.7666666666669
1716979380000,1422.7
1716979410000,1495.9666666666662
1716979440000,1520.3999999999999
1716979470000,1461.9666666666667
1716979500000,1514.4
1716979530000,1502.4333333333334
1716979560000,1497.4666666666665
1716979590000,1568.1000000000001
1716979620000,1468.1000000000001
1716979650000,1475
1716979680000,1510.666666666667
1716979710000,1455.7666666666664
1716979740000,1496.533333333333
1716979770000,1348.9333333333334
1716979800000,1398.4666666666665
1716979830000,1343.8
1716979860000,1358.9999999999998
1716979890000,1338.0333333333333
1716979920000,1391.6000000000001
1716979950000,1352.833333333333
1716979980000,1487.533333333333
1716980010000,1470.7333333333327
1716980040000,1330.2333333333333
1716980070000,1129.6333333333332
1716980100000,1160.1
1716980130000,1144.1000000000001
1716980160000,1183.6333333333332
1716980190000,1157.1666666666667
1716980220000,1071.6333333333332
1716980250000,621.0999999999999
1716980280000,608.4
1716980310000,503.46666666666664
1716980340000,494.4666666666667
1716980370000,186.43333333333334
1716980400000,215.63333333333333
1716980430000,0
1716980460000,0
1716980490000,0
1716980520000,0
