"Time","air-quality-observed","city-pole","cloud-event-dispatcher","crowd-flow-observed","device","dispatcher","ingress","ktwin-event-store-v1","ktwin-graph-store","mqtt-dispatcher","neighborhood","rabbitmq","redis","scylla","scylla-manager-agent","streetlight","traffic-flow-observed","weather-observed","Total Memory Usage"
1719027360000,1468006400,3347054592,134217728,1468006400,939524096,939524096,33554432,2684354560,1073741824,134217728,939524096,51539607552,402653184,17179869184,20000000,939524096,1468006400,1468006400,86179392768
1719027390000,1468006400,3347054592,134217728,1468006400,939524096,939524096,33554432,2684354560,1073741824,134217728,939524096,51539607552,402653184,17179869184,20000000,939524096,1468006400,1468006400,86179392768
1719027420000,1468006400,3347054592,134217728,1468006400,939524096,939524096,33554432,2684354560,1073741824,134217728,939524096,51539607552,402653184,17179869184,20000000,939524096,1468006400,1468006400,86179392768
1719027450000,1468006400,3347054592,134217728,1468006400,939524096,939524096,33554432,2684354560,1073741824,134217728,939524096,51539607552,402653184,17179869184,20000000,939524096,1468006400,1468006400,86179392768
1719027480000,1468006400,3347054592,134217728,1468006400,939524096,939524096,33554432,2684354560,1073741824,134217728,939524096,51539607552,402653184,17179869184,20000000,939524096,1468006400,1468006400,86179392768
1719027510000,1468006400,3347054592,134217728,1468006400,939524096,939524096,33554432,2684354560,1073741824,134217728,939524096,51539607552,402653184,17179869184,20000000,939524096,1468006400,1468006400,86179392768
1719027540000,1468006400,3347054592,134217728,1468006400,939524096,939524096,33554432,2684354560,1073741824,134217728,939524096,51539607552,402653184,17179869184,20000000,939524096,1468006400,1468006400,86179392768
1719027570000,1468006400,3347054592,134217728,1468006400,939524096,939524096,33554432,2684354560,1073741824,134217728,939524096,51539607552,402653184,17179869184,20000000,939524096,1468006400,1468006400,86179392768
1719027600000,1468006400,3347054592,134217728,1468006400,939524096,939524096,33554432,2684354560,1073741824,134217728,939524096,51539607552,402653184,17179869184,20000000,939524096,1468006400,1468006400,86179392768
1719027630000,1468006400,3347054592,134217728,1468006400,939524096,939524096,33554432,2684354560,1073741824,134217728,939524096,51539607552,402653184,17179869184,20000000,939524096,1468006400,1468006400,86179392768
1719027660000,1468006400,3347054592,134217728,1468006400,939524096,939524096,33554432,2684354560,1073741824,134217728,939524096,51539607552,402653184,17179869184,20000000,939524096,1468006400,1468006400,86179392768
1719027690000,1468006400,3347054592,134217728,1468006400,939524096,939524096,33554432,2684354560,1073741824,134217728,939524096,51539607552,402653184,17179869184,20000000,939524096,1468006400,1468006400,86179392768
1719027720000,1468006400,3347054592,134217728,1468006400,939524096,939524096,33554432,2684354560,1073741824,134217728,939524096,51539607552,402653184,17179869184,20000000,939524096,1468006400,1468006400,86179392768
1719027750000,1468006400,3347054592,134217728,1468006400,939524096,939524096,33554432,2684354560,1073741824,134217728,939524096,51539607552,402653184,17179869184,20000000,939524096,1468006400,1468006400,86179392768
1719027780000,1468006400,3347054592,134217728,1468006400,939524096,939524096,33554432,2684354560,1073741824,134217728,939524096,51539607552,402653184,17179869184,20000000,939524096,1468006400,1468006400,86179392768
1719027810000,1468006400,3347054592,134217728,1468006400,939524096,939524096,33554432,2684354560,1073741824,134217728,939524096,51539607552,402653184,17179869184,20000000,939524096,1468006400,1468006400,86179392768
1719027840000,1468006400,3347054592,134217728,1468006400,939524096,939524096,33554432,2684354560,1073741824,134217728,939524096,51539607552,402653184,17179869184,20000000,939524096,1468006400,1468006400,86179392768
1719027870000,1468006400,3347054592,134217728,1468006400,939524096,939524096,33554432,2684354560,1073741824,134217728,939524096,51539607552,402653184,17179869184,20000000,939524096,1468006400,1468006400,86179392768
1719027900000,1468006400,3347054592,134217728,1468006400,939524096,939524096,33554432,2684354560,1073741824,134217728,939524096,51539607552,402653184,17179869184,20000000,939524096,1468006400,1468006400,86179392768
1719027930000,1468006400,3347054592,134217728,1468006400,939524096,939524096,33554432,2684354560,1073741824,134217728,939524096,51539607552,402653184,17179869184,20000000,939524096,1468006400,1468006400,86179392768
1719027960000,1468006400,3347054592,134217728,1468006400,939524096,939524096,33554432,2684354560,1073741824,134217728,939524096,51539607552,402653184,17179869184,20000000,939524096,1468006400,1468006400,86179392768
1719027990000,1468006400,3347054592,134217728,1468006400,939524096,939524096,33554432,2684354560,1073741824,134217728,939524096,51539607552,402653184,17179869184,20000000,939524096,1468006400,1468006400,86179392768
