"Time","city-pole-00004 (p95)","event-store-00002 (p95)","ngsi-ld-city-airqualityobserved-00004 (p95)","ngsi-ld-city-crowdflowobserved-00004 (p95)","ngsi-ld-city-device-00004 (p95)","ngsi-ld-city-offstreetparking-00004 (p95)","ngsi-ld-city-parkingspot-00004 (p95)","ngsi-ld-city-streetlight-00004 (p95)","ngsi-ld-city-trafficflowobserved-00004 (p95)","ngsi-ld-city-weatherobserved-00004 (p95)"
1719027750000,19.5,39.07746478873239,86.28571428571425,undefined,undefined,undefined,undefined,,undefined,undefined
1719027780000,,71.80733944954136,524.6153846153852,37.20588235294119,undefined,undefined,undefined,,38.8785046728972,217.33333333333334
1719027810000,,26.817490494296592,354.49999999999983,50.00000000000003,undefined,99,39,,44.90322580645163,149.46428571428584
1719027840000,,27.35403726708076,164.6323529411765,37.73809523809525,undefined,,,,31.333333333333332,85.6153846153846
1719027870000,,18.17158176943699,192.4999999999999,70.00000000000006,undefined,187.5,187.5,,74.51851851851855,94.0909090909091
1719027900000,,40.47474747474739,370.8333333333331,37.20588235294119,undefined,,,,56.780487804878014,108.03030303030299
1719027930000,,36.16194331983802,328.75000000000006,97.50000000000001,undefined,,,,64.375,164.67391304347825
1719027960000,,15.811320754716984,136.70212765957444,39.523809523809526,undefined,275,7500,,38.79432624113476,95.6153846153845
1719027990000,,63.79487179487174,485.52631578947364,132.81250000000006,undefined,8875,325,,117.6315789473683,75.5
1719028020000,,19.885030864197518,89.99999999999929,98.4,undefined,122.49999999999994,56.66666666666667,,86.99999999999991,
1719028050000,,67.92753623188406,836.1111111111113,340.21739130434787,undefined,325,337.5,,270.96428571428584,
1719028080000,,22.075117370892006,85.33333333333347,39.878787878787875,undefined,125,90,,40.63636363636344,
1719028110000,,18.98975409836065,281.4903846153845,123.33333333333334,undefined,70,55,,95.16666666666643,
1719028140000,,19.067178502879067,214.83333333333297,99.2,undefined,125,125,,89.28947368421049,
1719028170000,,20.01587301587309,193.46153846153845,140.0000000000001,undefined,225,57.5,,77.7567567567566,
1719028200000,,27.157509157509086,195.73529411764687,127.7027027027027,undefined,155.0000000000001,94,,133.28947368421,
1719028230000,,54.68787276341945,163.33333333333326,184.11363636363637,236.3414634146341,187.50000000000006,112.5,216.07142857142864,123.21428571428571,
1719028260000,,36.23384253819036,354.6874999999998,185.38461538461516,,162.5,362.5,,109.4999999999996,
1719028290000,,38.62883435582819,99.81132075471699,81.04444444444435,,92.5,112.5,,67.41379310344828,
1719028320000,,30.22934232715008,134.4374999999999,84.7857142857143,,115.62499999999994,92.5,,55.394736842105296,
1719028350000,,30.60859728506786,239.92424242424238,101.84782608695669,,137.50000000000006,81.66666666666666,,93.68749999999997,
1719028380000,,27.760089686098645,111.95652173913047,121.66666666666646,,88.33333333333333,112.5,,94.00000000000003,
1719028410000,,47.27972027972028,325,104.16666666666644,,95.00000000000003,156.25,,115.90909090909095,
1719028440000,,32.17449664429529,128.30645161290306,77.46031746031747,,115.62499999999994,48.333333333333336,,64.59016393442626,
1719028470000,,70.03349282296644,163.3035714285713,97.19298245614036,,95.33333333333331,88.33333333333333,,91.59420289855072,
1719028500000,,37.30305838739574,132.421875,97.73529411764704,,154.99999999999977,65,,75.70588235294105,
1719028530000,,53.19428571428568,276.3888888888885,100.77380952380958,,111.6666666666667,71.33333333333331,,65.96153846153845,
1719028560000,,70.00623052959502,561.9999999999999,99.74647887323943,,119.99999999999973,91.99999999999991,,114.87499999999984,
