"Time","city-pole-00002","city-pole-00004","event-store-00002","ngsi-ld-city-airqualityobserved-00002","ngsi-ld-city-airqualityobserved-00004","ngsi-ld-city-crowdflowobserved-00002","ngsi-ld-city-crowdflowobserved-00004","ngsi-ld-city-device-00004","ngsi-ld-city-offstreetparking-00004","ngsi-ld-city-parkingspot-00004","ngsi-ld-city-streetlight-00004","ngsi-ld-city-trafficflowobserved-00002","ngsi-ld-city-trafficflowobserved-00004","ngsi-ld-city-weatherobserved-00002","ngsi-ld-city-weatherobserved-00004","All Revisions"
1719028560000,0,2.1,148169.149,0,22001.734,0,25320.486,1488.492,1087.787,1087.787,278.671,0,37209.076,0,5897.609,242542.892
1719028590000,0,2.1,154478.191,0,22743.51,0,26834.625,1475.839,1164.066,1164.066,276.623,0,38712.033,0,5886.588,252737.639
1719028620000,0,2.1,160823.109,0,23496.664,0,28357.647,1464.993,1240.253,1240.253,274.848,0,40225.868,0,5876.326,263002.062
1719028650000,0,2.1,167129.053,0,24241.552,0,29870.037,1455.594,1316.359,1316.359,273.295,0,41727.501,0,5781.724,273113.574
1719028680000,0,2.1,172502.939,0,24998.819,0,30952.061,1447.369,1342.805,1342.805,271.925,0,43244.299,0,5781.724,281886.846
1719028710000,0,2.1,176636.129,0,25746.799,0,31437.814,1440.112,1351.744,1351.744,270.706,0,44750.081,0,5781.724,288768.954
1719028740000,0,2.1,180768.3,0,26499.926,0,31924.432,1433.662,1360.749,1360.749,269.617,0,46258.526,0,5781.724,295659.785
1719028770000,0,2.1,184900.475,0,27249.961,0,32411.838,1427.89,1369.815,1369.815,268.636,0,47764.446,0,5781.724,302546.699
1719028800000,0,2.1,189031.63,0,27999.994,0,32901.071,1422.695,1378.935,1378.935,267.748,0,49271.013,0,5781.724,309435.846
1719028830000,undefined,2.1,193160.737,undefined,28745.918,undefined,33389.85,1417.996,1388.106,1388.106,261.905,undefined,50776.174,undefined,5781.724,316312.616
1719028860000,undefined,2.1,197171.827,undefined,29495.951,undefined,33879.237,1413.723,1397.323,1397.323,261.905,undefined,52282.042,undefined,5781.724,323083.155
