"Time","city-pole-00004 (p99)","event-store-00002 (p99)","ngsi-ld-city-airqualityobserved-00004 (p99)","ngsi-ld-city-crowdflowobserved-00004 (p99)","ngsi-ld-city-device-00004 (p99)","ngsi-ld-city-offstreetparking-00004 (p99)","ngsi-ld-city-parkingspot-00004 (p99)","ngsi-ld-city-streetlight-00004 (p99)","ngsi-ld-city-trafficflowobserved-00004 (p99)","ngsi-ld-city-weatherobserved-00004 (p99)"
1719027750000,19.9,10419.230769230746,164.99999999999974,undefined,undefined,undefined,undefined,,undefined,undefined
1719027780000,,165.21875000000085,1137.77777777778,43.33333333333345,undefined,undefined,undefined,,93.33333333333368,247.2
1719027810000,,39.675285171102715,481.675,73.74999999999997,undefined,99.8,39.8,,104.33333333333331,253.56249999999972
1719027840000,,56.88780487804884,523.1666666666666,45.000000000000135,undefined,,,,81.59999999999982,114.93750000000013
1719027870000,,37.75412844036704,281.6666666666668,212.50000000000034,undefined,197.49999999999997,197.49999999999997,,99.92380952380952,285.6249999999997
1719027900000,,75.49900990099012,1450,50.00000000000053,undefined,,,,82.40000000000009,201.62500000000063
1719027930000,,61.08571428571439,867.391304347826,139.58333333333326,undefined,,,,203.12499999999983,197.28260869565221
1719027960000,,33.10344827586208,259.37500000000017,3500.00000000008,undefined,294.99999999999994,9499.999999999996,,223.21428571428584,238.76086956521732
1719027990000,,13624.242424242304,644.9999999999998,266.66666666666725,undefined,9775,344.99999999999994,,234.4062499999999,79.1
1719028020000,,15406.666666666264,282.49999999999994,234.9999999999999,undefined,144.50000000000003,59.33333333333333,,234.20270270270285,
1719028050000,,105.5833333333307,2187.49999999999,439.28571428571416,undefined,344.99999999999994,347.5,,366.75000000000097,
1719028080000,,37.24131455399055,289.50000000000045,210.00000000000043,undefined,144.99999999999997,97.99999999999999,,209.02941176470588,
1719028110000,,34.79999999999994,409.1666666666653,228.57142857142836,undefined,77.99999999999999,58.99999999999999,,246.3333333333332,
1719028140000,,35.12483221476509,294.2954545454544,231.24999999999991,undefined,144.99999999999997,144.99999999999997,,235.8281250000001,
1719028170000,,39.13544973544982,423.0000000000002,266.66666666666725,undefined,244.99999999999997,59.5,,200.9444444444438,
1719028200000,,113.40384615384522,260.7857142857139,221.66666666666686,undefined,235.49999999999994,135.49999999999994,,242.28431372549008,
1719028230000,,88.6688524590165,236.70588235294122,244.6607142857144,370.8571428571429,312.5,312.5,258.33333333333366,206.0937499999998,
1719028260000,,64.55844155844163,445.0999999999998,381.4166666666665,,1250,1625.0000000000023,,318.833333333333,
1719028290000,,65.5428571428571,235.00000000000014,172.13999999999993,,137.50000000000006,312.5,,177.63888888888889,
1719028320000,,38.55851602023611,298.4687499999998,264.3214285714283,,362.5,137.50000000000006,,129.55882352941205,
1719028350000,,70.27441860465115,296.9400000000001,197.4625000000002,,262.5,262.5,,210.94444444444522,
1719028380000,,38.843497757847565,231.66666666666663,210.5789473684211,,181.2500000000001,212.5,,177.7777777777779,
1719028410000,,76.94025974025982,389.2857142857143,191.5254237288135,,212.5,262.5,,195.00000000000006,
1719028440000,,76.41632653061228,220.91666666666654,177.77777777777766,,212.5,92.50000000000006,,140.00000000000043,
1719028470000,,109.0538461538457,239.54166666666637,193.93939393939397,,263.00000000000045,162.5,,161.1111111111115,
1719028500000,,56.70312500000008,194.1666666666664,196.76666666666662,,6200.0000000000055,162.5,,146.98437499999983,
1719028530000,,117.81451612903231,475.8333333333326,189.10000000000053,,166.99999999999997,116.99999999999996,,332.50000000000074,
1719028560000,,97.77920000000007,592.4,275.91666666666646,,207.9999999999998,307.99999999999983,,271.18750000000074,
1719028590000,,131.62389380530985,779.0000000000009,180.1166666666667,,387.50000000000006,212.5,,196.47857142857146,
1719028620000,,39.79493293591652,324.5000000000003,140.2361111111112,,143.75000000000003,162.5,,115.81818181818176,
1719028650000,,66.52173913043475,427.49999999999494,141.83333333333343,,262.5,137.50000000000006,,195.77272727272745,
1719028680000,,39.08380062305296,214.30000000000032,189.1944444444445,,146.625,136.5,,188.91999999999987,
1719028710000,,37.97615384615383,159.5000000000003,166.66666666666666,,58.99999999999999,57.999999999999986,,142.15789473684205,
1719028740000,,178.1578947368415,285.15909090909093,150,,99,197.49999999999997,,163.29999999999956,
1719028770000,,68.94339622641508,265.90909090909093,150,,144.99999999999997,58.99999999999999,,150.04999999999953,
