"Time","air-quality-observed","city-pole","cloud-event-dispatcher","crowd-flow-observed","device","dispatcher","ingress","ktwin-event-store-v1","ktwin-graph-store","mqtt-dispatcher","neighborhood","rabbitmq","redis","scylla","scylla-manager-agent","streetlight","traffic-flow-observed","weather-observed","Total"
1719005790000,4,3,2,4,2,19,99,13,7,9,6,8,4,34,122,3,4,3,15
1719005820000,4,3,2,3,3,23,99,13,7,10,6,8,6,34,122,3,4,4,15
1719005850000,4,3,2,4,3,23,99,13,7,10,6,8,6,34,122,3,4,4,15
1719005880000,4,3,2,4,3,23,99,13,7,10,6,8,4,34,122,3,4,4,15
1719005910000,4,3,2,4,3,23,88,13,7,10,6,8,4,34,122,3,4,4,15
1719005940000,4,3,2,4,3,24,88,13,7,10,6,8,5,34,122,3,4,4,15
1719005970000,6,4,2,3,3,23,109,18,9,11,8,8,5,34,122,3,5,5,15
1719006000000,6,4,2,3,3,23,116,22,9,11,10,8,4,34,122,3,6,6,15
1719006030000,7,5,2,4,3,24,117,22,9,8,11,8,6,34,122,3,7,7,15
1719006060000,8,5,2,6,3,24,112,23,9,7,12,8,6,34,122,3,6,7,15
1719006090000,8,5,2,6,3,24,117,23,9,7,12,8,6,34,122,3,7,7,15
1719006120000,8,5,2,6,3,25,113,23,9,7,12,8,7,34,122,3,7,7,15
1719006150000,8,5,2,7,3,24,113,24,9,8,12,8,5,34,122,3,6,7,15
1719006180000,8,5,2,7,3,24,114,23,8,8,12,8,6,34,122,3,6,7,15
1719006210000,8,5,2,7,3,24,115,23,8,8,12,8,4,34,122,3,6,7,15
1719006240000,8,5,2,7,3,24,113,24,8,8,12,8,5,34,122,3,6,7,15
1719006270000,8,6,2,7,3,25,113,24,8,8,12,8,4,34,122,3,6,7,15
1719006300000,8,6,2,7,3,25,113,24,8,8,12,8,4,34,122,3,7,7,15
1719006330000,8,6,2,7,3,25,115,24,7,8,12,8,5,34,122,3,7,7,15
1719006360000,8,6,2,7,3,25,116,24,7,8,12,8,7,34,122,4,7,7,15
1719006390000,8,6,2,6,3,26,113,24,8,8,12,8,6,34,122,5,7,7,15
1719006420000,8,6,2,7,10,27,113,24,8,8,12,8,6,34,122,6,7,7,15
1719006450000,8,6,2,7,11,27,113,24,8,7,12,8,7,34,122,7,6,7,15
1719006480000,8,7,2,7,11,28,113,24,8,7,12,8,6,34,122,7,6,7,15
1719006510000,8,7,2,6,11,28,113,24,8,9,12,8,4,34,122,7,7,7,15
1719006540000,8,7,2,7,11,27,115,24,8,9,12,8,4,34,122,7,7,7,15
1719006570000,8,7,2,7,8,27,117,24,7,7,12,8,5,34,122,6,7,7,15
1719006600000,8,8,2,6,7,27,113,24,8,7,12,8,4,34,122,6,7,7,15
1719006630000,8,8,2,7,7,28,114,24,8,7,12,8,5,34,123,6,7,6,15
1719006660000,8,8,2,6,7,27,114,24,8,7,12,8,6,34,123,6,7,7,15
1719006690000,8,8,2,7,6,27,114,24,11,7,12,8,6,34,123,5,7,7,16
1719006720000,8,8,2,7,5,27,116,25,14,7,12,8,5,34,123,5,7,7,16
1719006750000,8,8,2,6,5,27,116,24,14,8,12,8,4,34,122,5,7,7,16
1719006780000,8,8,2,7,5,27,112,24,14,8,12,8,5,34,122,5,7,7,16
1719006810000,8,8,2,6,5,27,112,24,14,8,12,8,7,34,122,5,6,7,16
1719006840000,8,8,2,6,5,27,109,24,14,7,12,8,4,34,122,5,7,7,16
1719006870000,8,8,2,6,5,28,109,24,14,7,12,8,5,34,122,5,7,7,16
1719006900000,8,8,2,6,5,28,111,25,14,7,12,8,6,34,122,5,7,7,16
1719006930000,8,8,2,6,5,27,116,24,14,7,12,8,5,34,123,5,7,7,16
1719006960000,8,8,2,6,5,27,111,24,6,8,12,8,6,34,123,5,7,7,16
1719006990000,8,8,2,7,5,27,111,24,6,8,12,8,4,34,123,5,7,7,16
1719007020000,8,8,2,7,5,27,111,24,6,7,12,8,4,34,122,5,7,7,15
1719007050000,8,7,2,7,5,27,112,24,6,7,12,8,5,34,122,5,7,7,15
1719007080000,8,7,2,7,5,27,115,24,6,8,12,8,7,34,122,7,6,7,16
1719007110000,8,7,2,7,6,28,117,24,6,7,12,8,4,34,122,9,7,7,16
1719007140000,8,7,2,7,10,28,117,25,6,7,12,8,6,34,122,10,7,7,16
1719007170000,8,7,2,7,11,28,118,25,6,7,12,8,5,34,122,11,7,7,16
1719007200000,8,7,2,7,11,28,113,25,6,7,12,8,5,34,122,11,7,7,16
1719007230000,8,7,2,7,11,28,113,25,6,8,12,8,5,34,122,9,7,7,16
1719007260000,8,7,2,7,11,28,116,25,6,8,12,8,4,34,122,9,7,7,16
1719007290000,8,7,2,7,8,28,112,25,6,7,12,8,6,34,122,9,7,7,16
1719007320000,8,7,2,7,7,27,113,24,6,8,12,8,4,34,122,9,7,7,16
1719007350000,8,7,2,7,7,27,114,24,6,8,12,8,5,34,123,6,6,7,16
1719007380000,8,7,2,7,7,27,114,24,6,8,12,8,4,34,122,6,7,6,16
1719007410000,8,7,2,7,6,28,113,24,6,9,12,8,4,34,122,6,7,6,16
1719007440000,8,7,2,7,6,28,113,24,6,9,12,8,4,34,122,6,7,6,16
1719007470000,8,7,2,6,6,27,113,24,6,9,12,8,5,34,122,6,7,6,16
1719007500000,8,6,2,5,6,27,113,22,6,9,12,8,4,34,122,5,6,6,15
1719007530000,5,5,2,4,6,25,92,18,6,10,8,8,7,34,122,5,4,4,15
1719007560000,5,5,2,4,6,25,92,18,6,10,8,8,5,34,122,5,4,4,15
