"Time","city-pole-00001 (p95)","event-store-00003 (p95)","ngsi-ld-city-airqualityobserved-00001 (p95)","ngsi-ld-city-crowdflowobserved-00001 (p95)","ngsi-ld-city-device-00001 (p95)","ngsi-ld-city-offstreetparking-00001 (p95)","ngsi-ld-city-parkingspot-00001 (p95)","ngsi-ld-city-streetlight-00001 (p95)","ngsi-ld-city-trafficflowobserved-00001 (p95)","ngsi-ld-city-weatherobserved-00001 (p95)","s4city-city-neighborhood-00001 (p95)"
1719006000000,132.95454545454547,55.641025641025465,188.39285714285714,undefined,undefined,,,,39.44444444444444,127.94117647058823,170.45454545454547
1719006030000,38.64864864864865,29.16666666666661,55.16129032258064,38.8,undefined,,,,32.5,90,59
1719006060000,38.70370370370371,35.163265306122454,39.21428571428571,58,undefined,,,,38.15789473684211,39.67741935483871,56.20689655172413
1719006090000,97.05882352941177,36.62068965517237,217.85714285714278,47.49999999999999,undefined,,,,33.47826086956522,78.00000000000001,86.24999999999997
1719006120000,875,83.44999999999997,81.42857142857142,136.1111111111111,undefined,59,39.087164718882896,,135.5769230769231,209.37499999999997,127.49999999999999
1719006150000,412.49999999999994,39.285714285714256,90,174.99999999999997,undefined,,,,145.83333333333337,74.16666666666669,93.75000000000001
1719006180000,32.10526315789474,36.64062499999996,39.07801418439716,54.99999999999999,undefined,,,,253.125,58.33333333333334,64.99999999999999
1719006210000,295.83333333333337,39.08333333333332,39.48905109489051,38.52941176470588,undefined,59,59,,36.72972972972974,56.250000000000014,75
1719006240000,237.5,54.23333333333325,59.5,63.999999999999986,undefined,78,99,,34.54545454545456,62.5,125
1719006270000,278,68.30434782608683,39.5,183.33333333333331,undefined,98,39,,19.85964912280702,94.00000000000003,135.99999999999997
1719006300000,404.9999999999998,58.13636363636368,52.499999999999986,38.983050847457626,undefined,78,195,,19.621993127147768,54.444444444444464,284.9999999999996
1719006330000,397.22222222222223,119.81578947368415,53.999999999999986,280,undefined,99,145,,86.31578947368419,131.24999999999997,208.33333333333334
1719006360000,437.5,53.04477611940291,71,58.66666666666666,undefined,245,145,,45.714285714285694,95.00000000000001,98.57142857142858
1719006390000,405,81.14893617021264,44.99999999999998,100,undefined,145,78,,24.210526315789462,55.000000000000014,168.75
1719006420000,297.5,54.805309734513244,142.50000000000003,65.7142857142857,undefined,98,98,,34.54545454545456,106.25,158.33333333333334
1719006450000,203.57142857142856,61.38596491228064,173.21428571428572,300,50.473684210526315,129.99999999999994,91.99999999999997,98.33333333333331,100,165.90909090909096,160.71428571428567
1719006480000,489.28571428571433,75.9736842105263,57.500000000000014,30.43478260869565,,162.49999999999997,362.49999999999994,,19.96309963099631,118.75,175
1719006510000,204.99999999999997,55.82500000000002,55.000000000000014,54.285714285714285,,131.24999999999997,64.99999999999999,,19.964664310954063,82.5,97.27272727272728
1719006540000,229.16666666666674,79.6718749999999,41.66666666666666,36.190476190476204,,64.99999999999999,64.99999999999999,,37.894736842105274,61.999999999999986,154.16666666666666
1719006570000,418.75,88.87499999999996,54.444444444444464,69.28571428571429,,84.99999999999999,112.49999999999996,,71.30434782608695,134.72222222222223,213.88888888888886
1719006600000,294.2307692307693,56.7703703703704,39.787234042553195,80,,84.99999999999999,84.99999999999999,,50,75,185.00000000000009
1719006630000,38.33333333333333,77.70588235294119,104.16666666666664,37.894736842105274,,64.99999999999999,64.99999999999999,,30,79.28571428571429,186.11111111111114
1719006660000,630,94.00000000000001,51.53846153846153,80,,112.49999999999996,162.49999999999997,,86.66666666666664,96.66666666666667,160.71428571428567
1719006690000,825,110.47619047619045,90,36.000000000000014,,212.49999999999997,84.99999999999999,,28.333333333333343,76.66666666666667,225
1719006720000,36.904761904761905,76.12121212121215,50,34.23076923076923,,44.999999999999986,52.49999999999999,,31.538461538461533,56.15384615384616,184.09090909090912
1719006750000,705.7142857142854,92.49999999999994,255.4999999999998,51.91666666666668,,85.99999999999997,112.49999999999996,,48.69565217391303,93.00000000000001,264.00000000000006
1719006780000,959.9999999999999,138.31896551724137,177.81249999999994,38.08333333333334,,159.9999999999999,262.49999999999994,,35.92592592592594,161.45833333333334,439.9999999999997
1719006810000,381.25,80.44444444444451,93.00000000000001,60,,84.99999999999999,84.99999999999999,,37.14285714285714,83.33333333333333,178.12500000000006
1719006840000,37.66666666666667,58.635838150289025,56.66666666666667,33.513513513513516,,56.25,64.99999999999999,,90,85.55555555555554,127.49999999999999
1719006870000,30,70.06666666666663,49.16666666666667,28.571428571428577,,56.25,64.99999999999999,,34.634146341463406,58.33333333333334,158.33333333333331
1719006900000,208.33333333333334,66.44186046511625,39.925925925925924,34.19354838709677,,112.49999999999996,112.49999999999996,,33.571428571428555,83.33333333333333,225
1719006930000,163.88888888888886,126.99367088607582,54.61538461538463,50,,55.5,38.2,,37.66666666666667,82.5,159.37499999999997
1719006960000,735.7142857142856,148.29999999999964,39.473684210526315,100,,78,58,,81.66666666666666,85,187.5
1719006990000,309.37499999999994,98.21212121212127,44.99999999999998,200,,98,78,,19.964028776978417,115.62499999999994,175
1719007020000,43.33333333333332,101.43617021276602,51.25000000000003,60,,39,39,,36.551724137931046,112.5,181.25
1719007050000,282.1428571428572,111.8103448275861,78.00000000000001,77.14285714285711,,78,39,,36.250000000000014,104.99999999999997,185.00000000000009
1719007080000,248.0769230769231,81.03030303030286,146.42857142857144,37.89473684210526,,98,58,,23.749999999999986,125,187.50000000000006
1719007110000,835.0000000000001,113.43137254901949,95.88235294117648,250,,98,78,864.2857142857142,19.96415770609319,145.58823529411768,270.8333333333333
1719007140000,325.0000000000001,74.30882352941174,421.1538461538462,224.99999999999991,,58,39,,172.22222222222223,231.94444444444446,191.0714285714286
1719007170000,1583.333333333333,96.45999999999998,118.75,283.3333333333332,199.50000000000017,145,78,498.2142857142857,31.481481481481485,141.0714285714286,148.21428571428572
1719007200000,387.9166666666666,140.36458333333346,165.90909090909096,96.25,,,,,137.5,226.78571428571428,225.49999999999994
1719007230000,341.38888888888886,107.26190476190476,47.14285714285712,39.5,,,,,39.114285714285714,98.57142857142858,211.2499999999998
