"Time","city-pole","event-store","ngsi-ld-city-airqualityobserved","ngsi-ld-city-crowdflowobserved","ngsi-ld-city-device","ngsi-ld-city-offstreetparking","ngsi-ld-city-parkingspot","ngsi-ld-city-streetlight","ngsi-ld-city-trafficflowobserved","ngsi-ld-city-weatherobserved","s4city-city-neighborhood"
1719065970000,5,38.333,5,1.667,undefined,undefined,undefined,undefined,5,5,5
1719066000000,5,38.433,5,1.667,undefined,undefined,undefined,undefined,5,5,5
1719066030000,5,38.333,5,1.667,undefined,0,0,undefined,5,5,5
1719066060000,5,38.4,5,1.667,undefined,0.033,0.033,undefined,5,5,5
1719066090000,5,38.367,5,1.667,undefined,0,0,undefined,5,5,5
1719066120000,5,38.333,5,1.667,undefined,0,0,undefined,5,5,5
1719066150000,5,38.533,5,1.667,undefined,0.033,0.033,undefined,5.1,5,5
1719066180000,5,46.833,5,3.333,undefined,0.067,0.067,undefined,9.967,5,5
1719066210000,5,46.8,5,3.333,undefined,0.067,0.067,undefined,10,5,5
1719066240000,5,46.933,5,3.333,undefined,0.067,0.067,undefined,10,5,5
1719066270000,5,46.867,5,3.333,undefined,0.067,0.067,undefined,10,5,5
1719066300000,5,46.833,5,3.333,undefined,0.067,0.067,undefined,9.967,5,5
1719066330000,5,48.533,5,3.333,undefined,0.067,0.067,undefined,10,5,5
1719066360000,5,46.833,5,3.333,undefined,0.067,0.067,0,9.967,5,5
1719066390000,5,67.3,5,5,undefined,0.233,0.233,1.667,10,5,5
1719066420000,5,61.233,5,10,0,0.5,0.5,0,10,5,5
1719066450000,5,61.2,5,10,0,0.5,0.5,0,10,5,5
1719066480000,5,61.167,5,10,0,0.5,0.5,0,10,5,5
1719066510000,5,61.2,5,10,0,0.5,0.5,0,10,5,5
1719066540000,5,61.2,5,10,0,0.5,0.5,0,10,5,5
1719066570000,5,61.2,5,10,0,0.5,0.5,0,10,5,5
1719066600000,5,60.6,5,9.8,0,0.5,0.5,0,10,5,5
1719066630000,5,61,5,9.8,0,0.5,0.5,0,10,5,5
1719066660000,5,61.2,5,10,0,0.5,0.5,0,10,5,5
1719066690000,5,61.067,5,9.933,0,0.5,0.5,0,10,5,5
1719066720000,5,61.2,5,10,0,0.5,0.5,0,10,5,5
1719066750000,5,61.133,5,9.933,0,0.5,0.5,0,10,5,5
1719066780000,5,61.067,5,10,0,0.5,0.5,0,10,5,5
1719066810000,5,61.167,5,10,0,0.5,0.5,0,10,5,5
1719066840000,5,61.3,5,10,0,0.5,0.5,0,10,5,5
1719066870000,5,58.567,5,8.867,0,0.333,0.333,0,10,5,5
1719066900000,5,46.867,5,3.333,0,0.067,0.067,0,10,5,5
1719066930000,5,46.867,5,3.333,0,0.067,0.067,0,10,5,5
1719066960000,5,46.867,5,3.333,0,0.067,0.067,0,10,5,5
1719066990000,5,46.867,5,3.333,0,0.067,0.067,0,10,5,5
1719067020000,5,46.867,5,3.333,0,0.067,0.067,0,10,5,5
1719067050000,5,50.2,5,3.333,undefined,0.067,0.067,1.667,10,5,5
1719067080000,5,46.867,5,3.333,undefined,0.067,0.067,0,10,5,5
1719067110000,4.999,63.585,4.999,3.333,undefined,0.067,0.067,1.666,9.998,4.999,4.999
1719067140000,5.001,38.342,5.001,1.667,0,0,0,0,5.001,5.001,5.001
1719067170000,5,38.333,5,1.667,0,0,0,0,5,5,5
1719067200000,5,38.433,5,1.667,0,0.033,0.033,0,5,5,5
1719067230000,5,38.333,5,1.667,0,0,0,0,5,5,5
1719067260000,5,38.4,5,1.667,0,0.033,0.033,0,5,5,5
1719067290000,5,38.367,5,1.667,0,0,0,0,5,5,5
1719067320000,5,38.333,5,1.667,0,0,0,0,5,5,5
1719067350000,4.033,28.4,4.033,0.533,0,0.033,0.033,0,3.733,3.8,4.033
1719067380000,0,0,0,0,0,0,0,0,0,0,0
1719067410000,0,0,0,0,0,0,0,0,0,0,0
1719067440000,0,0,0,0,0,0,0,0,0,0,0
