"Time","air-quality-observed","city-pole","cloud-event-dispatcher","crowd-flow-observed","device","dispatcher","ingress","ktwin-event-store-v1","ktwin-graph-store","mqtt-dispatcher","neighborhood","rabbitmq","redis","scylla","scylla-manager-agent","streetlight","traffic-flow-observed","weather-observed","Total"
1719065610000,2,2,1,2,3,18,91,20,6,7,3,8,4,43,124,3,2,2,17
1719065640000,2,2,1,2,3,18,91,20,6,7,3,9,4,43,124,3,2,2,17
1719065670000,2,2,1,2,3,18,90,20,6,7,3,8,4,43,124,3,2,2,17
1719065700000,2,2,1,2,3,18,91,20,6,7,3,8,5,43,124,3,2,2,17
1719065730000,2,2,1,2,3,18,91,20,6,7,3,8,6,43,124,3,2,2,17
1719065760000,2,2,1,2,3,18,91,20,6,8,3,8,5,43,124,3,2,2,17
1719065790000,2,2,1,2,3,18,93,20,6,8,3,8,5,43,124,3,2,2,17
1719065820000,2,2,1,2,3,18,93,20,6,8,3,8,4,43,124,3,2,2,17
1719065850000,2,2,1,2,3,18,95,20,6,8,3,9,4,43,124,3,2,2,17
1719065880000,2,2,1,2,3,18,95,20,6,8,3,8,6,43,124,3,2,2,17
1719065910000,14,10,1,2,3,21,97,26,6,8,20,8,5,43,124,3,24,13,17
1719065940000,17,6,1,10,3,22,108,28,6,6,16,9,5,43,124,3,16,23,17
1719065970000,15,7,1,15,3,23,107,28,6,6,16,9,5,43,124,3,16,21,17
1719066000000,13,9,1,27,3,23,109,28,7,7,14,8,6,43,124,3,12,21,17
1719066030000,13,9,1,19,3,22,102,28,7,6,21,9,6,43,124,3,11,26,17
1719066060000,14,7,1,25,3,23,106,27,7,6,16,9,4,43,124,3,9,21,17
1719066090000,11,7,1,12,3,23,106,27,7,7,13,9,4,43,124,3,9,18,17
1719066120000,20,10,1,12,3,23,108,27,7,7,22,9,4,43,124,3,19,18,17
1719066150000,11,12,1,15,3,23,113,28,5,6,23,9,5,43,124,3,15,14,17
1719066180000,15,11,1,13,3,23,100,29,6,6,29,9,5,43,124,3,15,9,17
1719066210000,19,12,2,14,3,23,100,27,6,6,20,9,6,43,124,3,12,17,17
1719066240000,11,9,1,12,3,23,104,27,6,6,18,9,4,43,124,3,9,14,17
1719066270000,14,12,1,13,3,23,100,28,6,7,25,9,4,43,124,3,9,18,17
1719066300000,15,12,1,8,3,23,100,27,6,6,20,8,8,43,124,13,8,19,17
1719066330000,17,13,1,8,3,24,108,28,6,7,26,8,4,43,124,13,8,15,17
1719066360000,18,14,1,14,36,25,108,27,6,6,27,8,5,43,124,13,10,16,17
1719066390000,21,15,1,15,51,25,108,27,6,6,27,8,4,43,124,35,10,16,17
1719066420000,21,15,1,14,51,25,103,29,6,6,19,8,6,43,124,35,12,16,17
1719066450000,20,16,1,11,51,26,101,27,6,7,29,8,4,43,124,35,10,16,17
1719066480000,16,14,1,14,51,26,101,29,6,6,24,8,4,43,124,35,13,15,17
1719066510000,11,12,1,11,24,25,107,29,6,7,18,8,5,43,124,32,13,17,17
1719066540000,16,13,1,8,24,24,110,28,6,6,21,8,4,43,124,32,11,16,17
1719066570000,13,13,2,11,24,25,110,28,6,6,20,8,4,43,124,32,10,9,17
1719066600000,13,13,1,12,24,25,110,29,6,7,17,8,5,43,124,32,10,13,17
1719066630000,10,13,1,9,24,25,111,28,6,6,17,8,5,43,124,7,10,12,17
1719066660000,12,13,1,9,8,25,105,28,6,6,21,8,4,43,124,8,9,11,17
1719066690000,11,12,1,9,8,25,108,31,6,6,19,8,5,43,124,8,9,10,17
1719066720000,12,13,1,7,8,25,106,32,6,6,19,8,5,43,124,8,9,10,17
1719066750000,12,13,1,10,8,25,106,28,6,7,20,8,5,43,124,8,12,11,17
1719066780000,14,13,1,9,8,25,112,27,6,6,22,7,5,43,124,7,10,11,16
1719066810000,19,12,1,9,8,25,110,27,6,6,24,7,4,43,124,7,9,10,16
1719066840000,12,11,1,8,8,25,112,29,6,6,15,7,4,43,124,7,9,15,16
1719066870000,12,11,1,7,8,25,105,30,6,7,22,6,4,43,124,7,9,10,16
1719066900000,12,13,1,8,8,25,105,28,6,6,19,6,4,43,124,7,9,10,15
1719066930000,13,14,1,8,8,25,108,28,6,6,22,6,6,43,124,7,9,11,16
