"Time","ktwin.command.city-pole.updateairqualityindex","ktwin.command.ngsi-ld-city-offstreetparking.updatevehiclecount","ktwin.command.s4city-city-neighborhood.updateairqualityindex","ktwin.real.ngsi-ld-city-airqualityobserved","ktwin.real.ngsi-ld-city-crowdflowobserved","ktwin.real.ngsi-ld-city-device","ktwin.real.ngsi-ld-city-evchargingstation","ktwin.real.ngsi-ld-city-noiselevelobserved","ktwin.real.ngsi-ld-city-parkingspot","ktwin.real.ngsi-ld-city-streetlight","ktwin.real.ngsi-ld-city-trafficflowobserved","ktwin.real.ngsi-ld-city-weatherobserved","ktwin.store.ngsi-ld-city-airqualityobserved","ktwin.store.ngsi-ld-city-crowdflowobserved","ktwin.store.ngsi-ld-city-device","ktwin.store.ngsi-ld-city-offstreetparking","ktwin.store.ngsi-ld-city-streetlight","ktwin.store.ngsi-ld-city-trafficflowobserved","ktwin.store.ngsi-ld-city-weatherobserved","ktwin.store.s4city-city-neighborhood","ktwin.virtual.ngsi-ld-city-device"
1719065610000,undefined,undefined,undefined,0,0,0,0,0,0,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1719065640000,undefined,undefined,undefined,0,0,0,0,0,0,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1719065670000,undefined,undefined,undefined,0,0,0,0,0,0,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1719065700000,undefined,undefined,undefined,0,0,0,0,0,0,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1719065730000,undefined,undefined,undefined,0,0,0,0,0,0,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1719065760000,undefined,undefined,undefined,0,0,0,0,0,0,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1719065790000,undefined,undefined,undefined,0,0,0,0,0,0,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1719065820000,undefined,undefined,undefined,0,0,0,0,0,0,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1719065850000,undefined,undefined,undefined,0,0,0,0,0,0,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1719065880000,undefined,undefined,undefined,0,0,0,0,0,0,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1719065910000,undefined,undefined,undefined,5,1.6666666666666667,0,0,5,0,0,5,5,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1719065940000,5,undefined,5,5,1.6666666666666667,0,0,5,0,0,5,5,5,1.6666666666666667,undefined,undefined,undefined,5,5,5,undefined
1719065970000,5,undefined,5,5,1.6666666666666667,0,0.03333333333333333,5,0.03333333333333333,0,5,5,5,1.6666666666666667,undefined,undefined,undefined,5,5,5,undefined
1719066000000,5,0,5,5,1.6666666666666667,0,0,5,0,0,5,5,5,1.6666666666666667,undefined,0,undefined,5,5,5,undefined
1719066030000,5,0.03333333333333333,5,5,1.6666666666666667,0,0,5,0,0,5,5,5,1.6666666666666667,undefined,0.03333333333333333,undefined,5,5,5,undefined
1719066060000,5,0,5,4.999666688887407,1.666555562962469,0,0.03333111125924938,4.999666688887407,0.03333111125924938,0,4.999666688887407,4.999666688887407,5,1.6666666666666667,undefined,0,undefined,5,5,5,undefined
1719066090000,5,0,5,5.0003333555570375,1.666777785185679,0,0,5.0003333555570375,0,0,5.0003333555570375,5.0003333555570375,5,1.6666666666666667,undefined,0,undefined,5,5,5,undefined
1719066120000,5,0.03333333333333333,5,5,1.6666666666666667,0,0.03333333333333333,5,0.03333333333333333,0,5,5,5,1.6666666666666667,undefined,0.03333333333333333,undefined,5,5,5,undefined
1719066150000,5,0.06666666666666667,5,5,3.3333333333333335,0,0.06666666666666667,5,0.06666666666666667,0,10,5,5,3.3333333333333335,undefined,0.06666666666666667,undefined,10,5,5,undefined
1719066180000,5,0.06666666666666667,5,5,3.3333333333333335,0,0.06666666666666667,5,0.06666666666666667,0,10,5,5,3.3333333333333335,undefined,0.06666666666666667,undefined,10,5,5,undefined
1719066210000,5,0.06666666666666667,5,5,3.3333333333333335,0,0.06666666666666667,5,0.06666666666666667,0,10,5,5,3.3333333333333335,undefined,0.06666666666666667,undefined,10,5,5,undefined
1719066240000,5,0.06666666666666667,5,5,3.3333333333333335,0,0.06666666666666667,5,0.06666666666666667,0,10,5,5,3.3333333333333335,undefined,0.06666666666666667,undefined,10,5,5,undefined
1719066270000,5,0.06666666666666667,5,5,3.3333333333333335,0,0.06666666666666667,5,0.06666666666666667,0,10,5,5,3.3333333333333335,undefined,0.06666666666666667,undefined,10,5,5,undefined
1719066300000,5,0.06666666666666667,5,5,3.3333333333333335,0,0.06666666666666667,5,0.06666666666666667,1.6666666666666667,10,5,5,3.3333333333333335,undefined,0.06666666666666667,undefined,10,5,5,undefined
1719066330000,5,0.06666666666666667,5,5,3.3333333333333335,0,0.06666666666666667,5,0.06666666666666667,0,10,5,5,3.3333333333333335,undefined,0.06666666666666667,0,10,5,5,undefined
1719066360000,5,0.23333333333333334,5,5,3.3333333333333335,10.066666666666666,0.1,5,0.2,1.6666666666666667,10,5,5,4.266666666666667,undefined,0.23333333333333334,1.6666666666666667,10,5,5,undefined
