"Time","city-pole","event-store","ngsi-ld-city-airqualityobserved","ngsi-ld-city-crowdflowobserved","ngsi-ld-city-device","ngsi-ld-city-offstreetparking","ngsi-ld-city-parkingspot","ngsi-ld-city-streetlight","ngsi-ld-city-trafficflowobserved","ngsi-ld-city-weatherobserved","s4city-city-neighborhood","Total Number of Pods"
1719020550000,undefined,1,undefined,undefined,0,0,0,0,0,undefined,undefined,1
1719020580000,undefined,1,undefined,undefined,0,undefined,undefined,undefined,undefined,undefined,undefined,1
1719020610000,undefined,1,undefined,undefined,0,undefined,undefined,undefined,undefined,undefined,undefined,1
1719020640000,undefined,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1
1719020670000,undefined,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1
1719020700000,18,3,18,undefined,undefined,undefined,undefined,undefined,11,7,0,57
1719020730000,18,5,18,18,undefined,undefined,undefined,undefined,18,18,18,113
1719020760000,4,2,1,18,undefined,2,1,undefined,9,9,18,64
1719020790000,4,2,9,1,undefined,2,1,undefined,4,4,2,29
1719020820000,4,2,9,5,undefined,2,0,undefined,4,4,4,34
1719020850000,2,4,5,5,undefined,1,1,undefined,2,9,2,31
1719020880000,2,4,5,1,undefined,1,1,undefined,2,9,4,29
1719020910000,1,17,5,7,undefined,0,0,undefined,1,1,6,38
1719020940000,1,17,6,7,undefined,2,1,undefined,11,6,2,53
1719020970000,2,2,1,5,undefined,2,1,undefined,11,6,2,32
1719021000000,2,11,9,5,undefined,1,1,undefined,3,3,3,38
1719021030000,2,11,9,1,undefined,1,1,undefined,3,5,2,35
1719021060000,2,17,8,9,undefined,1,1,undefined,1,2,4,45
1719021090000,1,17,8,9,undefined,1,1,undefined,5,9,4,55
1719021120000,2,3,3,1,undefined,1,1,16,5,4,4,40
1719021150000,2,8,4,5,18,1,1,16,1,7,5,68
1719021180000,1,14,9,12,18,1,1,2,14,11,2,85
1719021210000,2,5,10,12,2,1,1,2,14,2,4,55
1719021240000,2,4,4,1,0,1,1,0,3,5,4,25
1719021270000,3,17,5,4,0,1,1,0,7,5,2,45
1719021300000,3,17,1,4,0,1,1,0,3,7,4,41
1719021330000,2,14,9,3,0,1,1,0,2,7,4,43
1719021360000,2,14,9,4,0,1,1,0,4,3,2,40
1719021390000,1,9,9,2,0,1,1,0,2,7,6,38
1719021420000,2,12,9,5,0,1,1,0,2,3,6,41
1719021450000,1,5,3,5,0,1,1,0,4,6,2,28
1719021480000,4,14,4,7,0,1,1,0,4,6,8,49
1719021510000,4,14,2,7,0,1,1,0,4,5,8,46
1719021540000,3,18,11,5,0,1,1,0,4,5,5,53
1719021570000,3,18,11,5,0,1,1,0,2,4,5,50
1719021600000,4,5,2,2,0,1,1,0,4,7,5,31
1719021630000,5,14,3,8,0,1,1,0,4,3,6,45
1719021660000,2,7,7,8,0,1,1,0,9,9,6,50
1719021690000,2,18,9,9,0,1,1,0,9,9,6,64
1719021720000,3,18,2,10,0,1,1,0,1,8,6,50
1719021750000,3,14,9,1,0,1,1,0,5,8,6,48
1719021780000,3,14,9,4,0,1,1,0,5,1,6,44
1719021810000,1,5,2,4,0,1,1,0,3,3,2,22
1719021840000,2,13,3,6,0,1,1,14,3,4,3,50
1719021870000,4,13,5,7,17,1,1,14,5,9,6,82
1719021900000,5,17,11,1,18,1,1,2,10,15,3,84
1719021930000,2,17,5,10,2,1,1,2,10,2,2,54
1719021960000,6,14,3,10,0,1,1,0,1,4,5,45
1719021990000,6,14,3,1,0,2,1,0,3,4,5,39
1719022020000,1,7,1,10,0,1,0,0,3,9,2,34
1719022050000,3,12,6,10,0,2,2,0,3,9,4,51
1719022080000,3,12,6,1,0,2,2,0,3,13,4,46
1719022110000,1,4,1,6,0,0,0,0,2,13,2,29
1719022140000,2,2,3,6,0,2,1,0,3,1,2,22
1719022170000,2,1,3,1,0,2,1,0,1,1,1,13
1719022200000,0,1,0,0,0,0,0,0,0,0,0,1
1719022230000,0,1,0,0,0,0,0,0,0,0,0,1
1719022260000,0,1,0,0,0,0,0,0,0,0,0,1
1719022290000,0,1,0,0,0,0,0,0,0,0,0,1
1719022320000,0,1,0,0,0,0,0,0,0,0,0,1
1719022350000,0,1,0,0,0,0,0,0,0,0,0,1
1719022380000,0,1,0,0,0,0,0,0,0,0,0,1
