"Time","city-pole-00001","event-store-00001","ngsi-ld-city-airqualityobserved-00001","ngsi-ld-city-crowdflowobserved-00001","ngsi-ld-city-device-00001","ngsi-ld-city-offstreetparking-00001","ngsi-ld-city-parkingspot-00001","ngsi-ld-city-streetlight-00001","ngsi-ld-city-trafficflowobserved-00001","ngsi-ld-city-weatherobserved-00001","s4city-city-neighborhood-00001","All Revisions"
1719020550000,714.714,5472.96,714.714,239.609,0,1.031,1.031,0,710.6,712.657,714.714,9282.03
1719020580000,561.103,4295.271,561.103,188.407,0,1.032,1.032,0,556.985,559.044,561.103,7285.082
1719020610000,407.179,3112.081,407.179,137.101,0,0,0,0,403.055,405.117,407.179,5278.89
1719020640000,252.897,1929.244,252.897,85.675,0,0,0,0,248.768,250.833,252.897,3273.212
1719020670000,98.208,743.279,98.208,34.114,0,0,0,0,94.073,96.14,98.208,1262.231
1719020700000,0,0,0,0,0,0,0,0,0,0,0,0
1719020730000,765,4704.24,765,0,0,0,0,0,510,515.1,765,8024.34
1719020760000,1530,10278.54,1530,363.12,0,0,0,0,1275,1275,1530,17781.66
1719020790000,2295,16703.52,2295,765,0,5.1,5.1,0,2040,2043.06,2295,28446.78
1719020820000,3060,22552.2,3060,1020,0,5.1,5.1,0,2805,2806.02,3060,38373.42
1719020850000,3825,28369.26,3825,1232.16,0,5.1,5.1,0,3570,3572.04,3825,48228.66
1719020880000,4590,34274.04,4590,1530,0,10.2,10.2,0,4335,4335,4590,58264.44
1719020910000,5355,40156.38,5355,1785,0,10.2,10.2,0,5100,5100,5355,68226.78
1719020940000,6118.98,44875.92,6118.98,1824.78,0,10.2,15.3,0,5865,5865,6118.98,76813.14
1719020970000,6823.8,51739.5,6823.8,2295,0,25.5,25.5,0,7352.16,6630,6823.8,88539.06
1719021000000,7650,60359.52,7650,3060,0,35.7,35.7,0,8925,7395,7650,102760.92
1719021030000,8362.98,66145.98,8364,3333.36,0,45.9,45.9,0,10406.04,8160,8337.48,113201.64
