"Time","city-pole-00001 (p90)","event-store-00001 (p90)","ngsi-ld-city-airqualityobserved-00001 (p90)","ngsi-ld-city-crowdflowobserved-00001 (p90)","ngsi-ld-city-device-00001 (p90)","ngsi-ld-city-offstreetparking-00001 (p90)","ngsi-ld-city-parkingspot-00001 (p90)","ngsi-ld-city-streetlight-00001 (p90)","ngsi-ld-city-trafficflowobserved-00001 (p90)","ngsi-ld-city-weatherobserved-00001 (p90)","s4city-city-neighborhood-00001 (p90)"
1719020760000,88.51063829787236,36.40909090909099,111.25000000000003,undefined,undefined,,,,90.25641025641028,159.0425531914893,171.42857142857142
1719020790000,154.25531914893617,56.370370370370296,718.918918918919,122.36363636363636,undefined,,,,247.5609756097561,310.55555555555577,125
1719020820000,216.12903225806448,38.006006006006004,187.0967741935484,508.6956521739131,undefined,,,,307.6923076923077,341.2500000000003,427.5
1719020850000,58.13953488372094,54.32214765100673,88.00000000000001,19.67955801104972,undefined,,,,90,102.49999999999997,161.45833333333334
1719020880000,186.80555555555554,34.13738441215325,337.8378378378378,139.59183673469389,undefined,4700,4625.427636781342,,173.68421052631578,661.6666666666669,372.58064516129036
1719020910000,120.17543859649122,36.90153846153845,133.9506172839506,620.0000000000002,undefined,,,,133.33333333333337,37.995444191343964,152.11267605633805
1719020940000,166.06382978723406,326.59722222222223,445.2439024390243,67.33333333333336,undefined,,4700,,172.1311475409836,130.59701492537314,447.9347826086957
1719020970000,57.911764705882376,39.630731102850035,121.22340425531918,136.33333333333331,undefined,4108.145603488141,60.82577102099587,,554.3589743589745,444.4444444444444,152.26190476190473
1719021000000,175.64102564102566,137.54437869822482,596.0784313725491,418.75,undefined,200,200,,113.67816091954018,182.1428571428571,204.4117647058824
1719021030000,27.40350877192985,38.13031914893617,82.72727272727272,231.11111111111123,undefined,100,40,,170.98591549295787,220,93.81132075471697
1719021060000,113.04347826086965,56.900735294117645,68.05000000000004,395.9375000000002,undefined,150,60,,37.74834437086091,383.33333333333337,131.9230769230769
1719021090000,164.02173913043475,169.93852459016395,640.3703703703702,667.3333333333333,undefined,60,20,,203.81818181818164,686.7924528301886,256.37096774193543
1719021120000,125.89622641509433,96.71361502347416,127.50000000000001,39.721739130434784,undefined,60,40,,147.64705882352968,54.19354838709677,245.11363636363643
1719021150000,159.02985074626864,91.91411042944776,311.09375000000006,328.9473684210527,undefined,40,40,,95.94366197183095,136.60714285714286,436.94444444444446
1719021180000,161.2962962962964,59.32786885245902,198.98876404494385,282.95454545454555,undefined,150,150,,108.10810810810807,517.6470588235294,179.3661971830986
1719021210000,319.7058823529411,120.23972602739735,693.4693877551019,540.2222222222222,960.7142857142858,872.0000000000001,790.0000000000001,1777.7777777777783,686.0465116279072,1050.6329113924048,615.0000000000001
1719021240000,68.96551724137932,79.4915966386555,78.18181818181816,47.27272727272724,,90.57142857142858,38.75,,77.50000000000001,258.75,257.6923076923077
1719021270000,241.9889502762431,168.2475490196078,444.79166666666663,407.99999999999994,,138.33333333333331,85,,340.983606557377,400,432.1428571428572
1719021300000,42.56410256410258,80.38730158730161,89.7142857142857,192.27272727272728,,155.83333333333334,39.142857142857125,,72.49999999999997,197.2972972972973,253.9473684210527
1719021330000,127.77777777777783,69.09000000000002,780,247.06896551724134,,93.49999999999999,46.00000000000008,,59.22077922077921,558.1395348837208,229.06976744186042
1719021360000,156.03448275862073,121.74725274725289,93.17073170731709,297.3636363636363,,106.24999999999999,39.27272727272728,,108.16326530612243,46.95652173913045,295
1719021390000,68.91666666666666,75.54243542435421,70.7945205479452,94.41666666666669,,78.66666666666669,28.363636363636388,,239.28571428571416,483.33333333333394,225.7608695652174
1719021420000,125.07692307692305,170.57268722466995,954,147.14285714285714,,135.00000000000006,61.99999999999999,,167.68292682926833,99.09090909090914,547.9411764705882
1719021450000,186.3636363636362,74.6607929515419,196.93877551020404,263.11320754716974,,119.44444444444446,38.57142857142858,,243.1034482758621,68.57142857142857,220.83333333333334
1719021480000,355.2631578947368,186.14329268292715,311.62790697674416,104.857142857143,,168.74999999999994,56.666666666666686,,63.243243243243285,471.0526315789474,688.8888888888894
1719021510000,37.8125,96.95384615384619,86.15384615384615,311.17021276595744,,112.49999999999997,50,,61.42857142857145,164.06250000000003,196.20253164556965
1719021540000,52.72727272727276,85.27976190476193,812.5000000000001,83.54166666666673,,78.33333333333334,36.666666666666686,,191.91176470588232,451.56250000000006,186.15384615384613
1719021570000,271.0526315789473,115.65217391304382,101.58730158730158,263.50877192982483,,106.24999999999999,30,,92.67605633802816,143.39622641509433,311.7647058823529
1719021600000,127.96610169491527,115.0000000000001,182.9787234042554,107.50000000000003,,135.00000000000006,31.249999999999996,,190.56603773584902,566.6666666666667,246.55172413793105
1719021630000,498.5185185185185,101.96911196911199,261.0000000000001,211.63461538461544,,145.83333333333337,34.61538461538461,,245.00000000000023,146.99248120300751,604.0540540540541
1719021660000,49.90476190476191,106.8191964285715,159.72222222222226,149.659090909091,,68,54.666666666666714,,133.67346938775515,405.7142857142857,228.3898305084746
1719021690000,106.7567567567568,206.2499999999999,900,55.454545454545475,,60,36,,432.8947368421054,779.4117647058822,415.17857142857133
1719021720000,159.99999999999997,260.1401869158882,176.11940298507463,815.8333333333331,,40,30,,58.000000000000014,141.20370370370372,735.7142857142859
1719021750000,244.42307692307696,91.11578947368422,1013.2352941176475,264.4444444444445,,100,80,,122.6056338028169,736.3636363636361,244.56521739130443
1719021780000,243.07692307692304,217.7525252525252,235.89285714285722,399.0000000000004,,40,40,,226.0795454545455,344.5652173913043,449.2424242424243
1719021810000,122.58064516129038,208.51562500000009,194.82758620689648,89.17647058823533,,40,40,,36.990291262135926,264.2857142857142,390.2173913043478
1719021840000,42.77192982456139,95.15277777777784,255.00000000000017,181.17647058823533,,40,40,,141.3297872340426,252.08333333333343,361.92307692307713
1719021870000,194.9137931034483,176.0891089108912,160.11111111111114,528.9999999999999,,60,80,,110.63953488372104,307.2463768115942,433.1481481481483
1719021900000,475.32258064516134,132.9938900203666,945.7142857142854,101.30434782608704,,400,300,,258.1147540983608,776.923076923077,562.9591836734694
1719021930000,125.39603960396038,144.3509615384616,185.88235294117646,1568,862.500000000002,,,1744.8979591836737,851.2500000000002,1127.9069767441863,331.53333333333336
1719021960000,480.7692307692308,183.3419689119171,212.50000000000006,984.545454545455,,,,,44.28571428571433,345.23809523809524,408.62068965517244
1719021990000,78.62068965517241,272.2596153846153,156.38297872340422,31.942857142857157,,4700,4700,,253.33333333333348,247.77777777777777,371.42857142857144
1719022020000,80.90909090909095,188.60544217687084,188.4057971014493,715.5555555555557,,,,,83.05084745762713,165.85365853658536,389.58333333333326
1719022050000,233.3333333333334,147.8363636363636,540.983606557377,1190,,,,,159.75609756097558,716.6666666666666,300.2777777777778
1719022080000,50.125,109.47183098591543,90.91666666666673,46.12500000000003,,4700,7500,,219.1489361702128,141.0714285714286,228.1896551724139
